name,full_name,age,gender,wikidata_id
ASGREEN Kasper,Kasper Asgreen,29,Male,Q23950146
ASHBY Madison,Madison Ashby,23,Female,Q107688393
ASHER-SMITH Dina,Dina Asher-Smith,29,Female,Q14623252
ASHIKAWA Urara,Ashikawa Urara,21,Female,Q98714284
ASHLEY Whitney,Ashley Whitney,45,Female,Q4805637
ASHMAWY Maggy,Maggy Ashmawy,32,Female,Q89599483
ASHOK Aditi,Aditi Ashok,26,Female,Q25990418
ASHOUR Emam,Emam Ashour,26,Male,Q64681287
ASHRAM Linoy,Linoy Ashram,25,Female,Q17708725
ASIL Adem,Adem Asil,25,Male,Q104172788
ASKEROV Aleksandr,Aleksandr Askerov,29,Male,Q107856701
ASLAN Yigit,Yiğit Aslan,21,Male,Q107404914
ASLANYAN Karen,Karen Aslanian,29,Male,Q24954652
ASLLANI Kosovare,Kosovare Asllani,35,Female,Q458155
ASP Yndiara,Yndiara Asp,27,Female,Q107655956
ASPANDIYAROVA Dina,Dina Aspandiyarova,48,Female,Q5277832
ASSADILOV Darkhan,Darkhan Assadilov,37,Male,Q3016311
ASSAGHIR Mohamed,Mohamed Assaghir,31,Male,Q107690165
ASSAKALOV Rustam,Rustam Assakalov,40,Male,Q16162447
ASSAR Omar,Omar Assar,33,Male,Q7089642
ASSELAH Sonia,Sonia Asselah,33,Female,Q2372460
ASTRUP Kim,Kim Astrup Sørensen,32,Male,Q1741454
ATATOU Wided,Wided Atatou,25,Female,Q107423810
ATCHO Sarah,Sarah Atcho,29,Female,Q20993661
ATIENO Camilla,Camilla Atieno,29,Female,Q107718561
ATKIN Sam,Sam Atkin,31,Male,Q107210490
